TimeMinutes,p95
0.0,113
0.08376666666666667,2
0.16725,2
0.25071666666666664,2
0.3343833333333333,2
0.41786666666666666,2
0.5012833333333333,2
0.5847333333333333,2
0.66815,2
0.7515666666666667,2
0.8349833333333333,2
0.9184,2
1.0018166666666666,2
1.08525,2
1.1686666666666667,2
1.2520833333333334,2
1.3355,2
1.4189333333333334,2
1.50235,2
1.5857666666666668,2
1.6691833333333332,2
1.7525833333333334,2
1.8360166666666666,2
1.9194333333333333,2
2.002866666666667,2
2.0862833333333333,2
2.1697166666666665,2
2.2531166666666667,2
2.336533333333333,2
2.4199333333333333,2
2.50335,2
2.58675,2
2.670166666666667,2
2.7535833333333333,2
2.837,2
2.9204166666666667,2
3.003816666666667,2
3.0872166666666665,2
3.1706666666666665,2
3.2540666666666667,2
3.337466666666667,2
3.4208666666666665,2
3.5042666666666666,2
3.587683333333333,2
3.671116666666667,2
3.75455,2
3.83795,2
3.9213666666666667,2
4.004783333333333,2
4.088183333333333,2
4.171616666666667,2
4.255016666666666,2
4.3384,2
4.4218166666666665,2
4.505216666666667,2
4.588633333333333,2
4.672016666666667,2
4.755416666666667,2
4.838816666666666,2
4.9222166666666665,2
5.005633333333333,2
5.089066666666667,2
5.172466666666667,2
5.255883333333333,2
5.339283333333333,2
5.4226833333333335,2
5.506066666666666,2
5.589666666666667,2
5.6730833333333335,2
5.756466666666666,2
5.8398666666666665,2
5.923283333333333,2
6.006683333333333,2
6.090083333333333,2
6.173483333333333,2
6.256883333333334,2
6.340316666666666,2
6.4237166666666665,2
6.507133333333333,2
6.590533333333333,2
6.673933333333333,2
6.75735,2
6.84075,2
6.92415,2
7.00755,2
7.09095,2
7.17435,2
7.25775,2
7.341166666666667,2
7.4246,2
7.508,2
7.591433333333334,2
7.674833333333333,2
7.758233333333333,2
7.841666666666667,2
7.925083333333333,2
8.008466666666667,2
8.09185,2
8.175283333333333,2
8.258666666666667,2
8.342066666666666,2
8.425466666666667,2
8.508883333333333,2
8.5923,2
8.6757,2
8.759133333333333,2
8.84255,2
8.925966666666667,2
9.00935,2
9.092783333333333,2
9.176183333333332,2
9.259616666666666,2
9.343016666666667,2
9.426416666666666,2
9.509816666666667,2
9.593216666666667,2
9.676616666666666,2
9.760016666666667,2
9.843416666666666,2
