Time,MBInPerSec
0.0,0.0
0.08333333333333333,332.0
0.16666666666666666,541.0
0.25,581.0
0.3333333333333333,621.0
0.4166666666666667,648.0
0.5,667.0
0.5833333333333334,682.0
0.6666666666666666,695.0
0.75,711.0
0.8333333333333334,727.0
0.9166666666666666,740.0
1.0,761.0
1.0833333333333333,778.0
1.1666666666666667,794.0
1.25,811.0
1.3333333333333333,825.0
1.4166666666666667,844.0
1.5,854.0
1.5833333333333333,865.0
1.6666666666666667,868.0
1.75,876.0
1.8333333333333333,889.0
1.9166666666666667,896.0
2.0,909.0
2.0833333333333335,917.0
2.1666666666666665,921.0
2.25,926.0
2.3333333333333335,929.0
2.4166666666666665,933.0
2.5,941.0
2.5833333333333335,950.0
2.6666666666666665,953.0
2.75,950.0
2.8333333333333335,952.0
2.9166666666666665,959.0
3.0,968.0
3.0833333333333335,975.0
3.1666666666666665,981.0
3.25,986.0
3.3333333333333335,991.0
3.4166666666666665,997.0
3.5,1024.0
3.5833333333333335,1034.24
3.6666666666666665,1034.24
3.75,1034.24
3.8333333333333335,1034.24
3.9166666666666665,1024.0
4.0,998.0
4.083333333333333,996.0
4.166666666666667,1000.0
4.25,999.0
4.333333333333333,1024.0
4.416666666666667,1024.0
4.5,999.0
4.583333333333333,998.0
4.666666666666667,998.0
4.75,999.0
4.833333333333333,986.0
4.916666666666667,970.0
5.0,953.0
5.083333333333333,940.0
5.166666666666667,930.0
5.25,917.0
5.333333333333333,902.0
5.416666666666667,887.0
5.5,878.0
5.583333333333333,873.0
5.666666666666667,866.0
5.75,858.0
5.833333333333333,855.0
5.916666666666667,853.0
6.0,851.0
6.083333333333333,849.0
6.166666666666667,849.0
6.25,847.0
6.333333333333333,849.0
6.416666666666667,852.0
6.5,855.0
6.583333333333333,857.0
6.666666666666667,851.0
6.75,848.0
6.833333333333333,854.0
6.916666666666667,872.0
7.0,886.0
7.083333333333333,895.0
7.166666666666667,904.0
7.25,912.0
7.333333333333333,923.0
7.416666666666667,928.0
7.5,924.0
7.583333333333333,914.0
7.666666666666667,898.0
7.75,901.0
7.833333333333333,910.0
7.916666666666667,927.0
8.0,942.0
8.083333333333334,954.0
8.166666666666666,966.0
8.25,972.0
8.333333333333334,973.0
8.416666666666666,965.0
8.5,959.0
8.583333333333334,953.0
8.666666666666666,944.0
8.75,937.0
8.833333333333334,931.0
8.916666666666666,924.0
9.0,909.0
9.083333333333334,893.0
9.166666666666666,881.0
9.25,875.0
9.333333333333334,876.0
9.416666666666666,876.0
9.5,866.0
9.583333333333334,860.0
9.666666666666666,862.0
9.75,865.0
9.833333333333334,865.0
9.916666666666666,867.0
10.0,870.0
10.083333333333334,868.0
10.166666666666666,866.0
10.25,867.0
10.333333333333334,877.0
10.416666666666666,892.0
10.5,911.0
10.583333333333334,923.0
10.666666666666666,938.0
10.75,949.0
10.833333333333334,958.0
10.916666666666666,963.0
11.0,969.0
11.083333333333334,969.0
11.166666666666666,962.0
11.25,957.0
11.333333333333334,951.0
11.416666666666666,956.0
11.5,964.0
11.583333333333334,961.0
11.666666666666666,954.0
11.75,945.0
11.833333333333334,941.0
11.916666666666666,950.0
12.0,957.0
12.083333333333334,967.0
12.166666666666666,973.0
12.25,976.0
12.333333333333334,986.0
12.416666666666666,980.0
12.5,974.0
12.583333333333334,960.0
12.666666666666666,947.0
12.75,932.0
12.833333333333334,919.0
12.916666666666666,909.0
13.0,901.0
13.083333333333334,892.0
13.166666666666666,883.0
13.25,875.0
13.333333333333334,872.0
13.416666666666666,878.0
13.5,889.0
13.583333333333334,896.0
13.666666666666666,903.0
13.75,912.0
13.833333333333334,918.0
13.916666666666666,923.0
14.0,933.0
14.083333333333334,944.0
14.166666666666666,952.0
14.25,955.0
14.333333333333334,949.0
14.416666666666666,949.0
14.5,949.0
14.583333333333334,953.0
14.666666666666666,944.0
14.75,940.0
14.833333333333334,942.0
14.916666666666666,946.0
15.0,950.0
