Time,cluster_throughput
0.0,0.0
0.08333333333333333,104.0
0.16666666666666666,288.0
0.25,291.0
0.3333333333333333,297.0
0.4166666666666667,304.0
0.5,309.0
0.5833333333333334,315.0
0.6666666666666666,319.0
0.75,318.0
0.8333333333333334,311.0
0.9166666666666666,310.0
1.0,313.0
1.0833333333333333,315.0
1.1666666666666667,319.0
1.25,325.0
1.3333333333333333,326.0
1.4166666666666667,323.0
1.5,320.0
1.5833333333333333,321.0
1.6666666666666667,326.0
1.75,331.0
1.8333333333333333,336.0
1.9166666666666667,338.0
2.0,335.0
2.0833333333333335,331.0
2.1666666666666665,330.0
2.25,334.0
2.3333333333333335,337.0
2.4166666666666665,336.0
2.5,330.0
2.5833333333333335,321.0
2.6666666666666665,317.0
2.75,314.0
2.8333333333333335,316.0
2.9166666666666665,318.0
3.0,324.0
3.0833333333333335,329.0
3.1666666666666665,331.0
3.25,328.0
3.3333333333333335,319.0
3.4166666666666665,319.0
3.5,317.0
3.5833333333333335,320.0
3.6666666666666665,324.0
3.75,326.0
3.8333333333333335,322.0
3.9166666666666665,324.0
4.0,324.0
4.083333333333333,321.0
4.166666666666667,327.0
4.25,334.0
4.333333333333333,332.0
4.416666666666667,323.0
4.5,316.0
4.583333333333333,316.0
4.666666666666667,322.0
4.75,325.0
4.833333333333333,329.0
4.916666666666667,335.0
5.0,333.0
5.083333333333333,322.0
5.166666666666667,319.0
5.25,321.0
5.333333333333333,322.0
5.416666666666667,320.0
5.5,320.0
5.583333333333333,325.0
5.666666666666667,325.0
5.75,324.0
5.833333333333333,323.0
5.916666666666667,326.0
6.0,322.0
6.083333333333333,322.0
6.166666666666667,328.0
6.25,328.0
6.333333333333333,326.0
6.416666666666667,324.0
6.5,321.0
6.583333333333333,316.0
6.666666666666667,320.0
6.75,325.0
6.833333333333333,330.0
6.916666666666667,332.0
7.0,328.0
7.083333333333333,322.0
7.166666666666667,324.0
7.25,324.0
7.333333333333333,319.0
7.416666666666667,321.0
7.5,320.0
7.583333333333333,323.0
7.666666666666667,328.0
7.75,331.0
7.833333333333333,329.0
7.916666666666667,323.0
8.0,321.0
8.083333333333334,315.0
8.166666666666666,307.0
8.25,310.0
8.333333333333334,315.0
8.416666666666666,319.0
8.5,319.0
8.583333333333334,319.0
8.666666666666666,311.0
8.75,312.0
8.833333333333334,318.0
8.916666666666666,320.0
9.0,326.0
9.083333333333334,329.0
9.166666666666666,326.0
9.25,328.0
9.333333333333334,331.0
9.416666666666666,334.0
9.5,338.0
9.583333333333334,344.0
9.666666666666666,346.0
9.75,335.0
9.833333333333334,330.0
9.916666666666666,338.0
10.0,341.0
10.083333333333334,341.0
10.166666666666666,339.0
10.25,340.0
10.333333333333334,334.0
10.416666666666666,325.0
10.5,322.0
10.583333333333334,324.0
10.666666666666666,326.0
10.75,327.0
10.833333333333334,325.0
10.916666666666666,323.0
11.0,324.0
11.083333333333334,325.0
11.166666666666666,325.0
11.25,329.0
11.333333333333334,324.0
11.416666666666666,317.0
11.5,316.0
11.583333333333334,321.0
11.666666666666666,320.0
11.75,323.0
11.833333333333334,328.0
11.916666666666666,328.0
12.0,321.0
12.083333333333334,319.0
12.166666666666666,321.0
12.25,323.0
12.333333333333334,326.0
12.416666666666666,327.0
12.5,325.0
12.583333333333334,328.0
12.666666666666666,328.0
12.75,327.0
12.833333333333334,328.0
12.916666666666666,330.0
13.0,333.0
13.083333333333334,331.0
13.166666666666666,331.0
13.25,334.0
13.333333333333334,339.0
13.416666666666666,337.0
13.5,325.0
13.583333333333334,320.0
13.666666666666666,318.0
13.75,319.0
13.833333333333334,320.0
13.916666666666666,321.0
14.0,322.0
14.083333333333334,328.0
14.166666666666666,331.0
14.25,327.0
14.333333333333334,327.0
14.416666666666666,328.0
14.5,331.0
14.583333333333334,336.0
14.666666666666666,339.0
14.75,338.0
14.833333333333334,333.0
14.916666666666666,332.0
15.0,330.0
