time,threadId,data.consumed.in.MB,MB.sec,data.consumed.in.nMsg,nMsg.sec,rebalance.time.ms,fetch.time.ms,fetch.MB.sec,fetch.nMsg.sec
2025-07-2310:41:02:130,0,76.1724,15.2345,156001,31200.2000,3656,1344,56.6759,116072.1726
2025-07-2310:41:07:130,0,125.0210,9.7697,256043,20008.4000,0,5000,9.7697,20008.4000
2025-07-2310:41:12:130,0,173.8442,9.7646,356033,19998.0000,0,5000,9.7646,19998.0000
2025-07-2310:41:17:130,0,222.6802,9.7672,456049,20003.2000,0,5000,9.7672,20003.2000
2025-07-2310:41:22:130,0,271.5024,9.7645,556037,19997.6000,0,5000,9.7645,19997.6000
2025-07-2310:41:27:130,0,320.3281,9.7651,656032,19999.0000,0,5000,9.7651,19999.0000
2025-07-2310:41:32:130,0,369.1567,9.7657,756033,20000.2000,0,5000,9.7657,20000.2000
2025-07-2310:41:37:130,0,417.9814,9.7649,856026,19998.6000,0,5000,9.7649,19998.6000
2025-07-2310:41:42:130,0,466.8130,9.7663,956033,20001.4000,0,5000,9.7663,20001.4000
2025-07-2310:41:47:150,0,515.6147,9.7215,1055979,19909.5618,0,5020,9.7215,19909.5618
2025-07-2310:41:52:151,0,564.6743,9.8100,1156453,20090.7818,0,5001,9.8100,20090.7818
2025-07-2310:41:57:151,0,613.5024,9.7656,1256453,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:42:02:151,0,662.3286,9.7652,1356449,19999.2000,0,5000,9.7652,19999.2000
2025-07-2310:42:07:151,0,711.1631,9.7669,1456462,20002.6000,0,5000,9.7669,20002.6000
2025-07-2310:42:12:151,0,759.9814,9.7637,1556442,19996.0000,0,5000,9.7637,19996.0000
2025-07-2310:42:17:151,0,808.8145,9.7666,1656452,20002.0000,0,5000,9.7666,20002.0000
2025-07-2310:42:22:151,0,857.6479,9.7667,1756463,20002.2000,0,5000,9.7667,20002.2000
2025-07-2310:42:27:151,0,906.4712,9.7646,1856453,19998.0000,0,5000,9.7646,19998.0000
