time,threadId,data.consumed.in.MB,MB.sec,data.consumed.in.nMsg,nMsg.sec,rebalance.time.ms,fetch.time.ms,fetch.MB.sec,fetch.nMsg.sec
2025-07-2310:42:32:151,0,955.3008,9.7659,1956456,20000.6000,0,5000,9.7659,20000.6000
2025-07-2310:42:37:151,0,1004.1270,9.7652,2056452,19999.2000,0,5000,9.7652,19999.2000
2025-07-2310:42:42:151,0,1052.9561,9.7658,2156454,20000.4000,0,5000,9.7658,20000.4000
2025-07-2310:42:47:151,0,1101.7832,9.7654,2256452,19999.6000,0,5000,9.7654,19999.6000
2025-07-2310:42:52:151,0,1150.6084,9.7650,2356446,19998.8000,0,5000,9.7650,19998.8000
2025-07-2310:42:57:151,0,1199.4351,9.7653,2456443,19999.4000,0,5000,9.7653,19999.4000
2025-07-2310:43:02:151,0,1248.2627,9.7655,2556442,19999.8000,0,5000,9.7655,19999.8000
2025-07-2310:43:07:151,0,1297.1089,9.7692,2656479,20007.4000,0,5000,9.7692,20007.4000
2025-07-2310:43:12:151,0,1345.9287,9.7640,2756462,19996.6000,0,5000,9.7640,19996.6000
2025-07-2310:43:17:152,0,1394.7612,9.7646,2856471,19997.8004,0,5001,9.7646,19997.8004
2025-07-2310:43:22:152,0,1443.5928,9.7663,2956478,20001.4000,0,5000,9.7663,20001.4000
2025-07-2310:43:27:152,0,1492.4131,9.7641,3056462,19996.8000,0,5000,9.7641,19996.8000
2025-07-2310:43:32:153,0,1541.2554,9.7665,3156491,20001.7996,0,5001,9.7665,20001.7996
2025-07-2310:43:37:153,0,1590.0845,9.7658,3256493,20000.4000,0,5000,9.7658,20000.4000
2025-07-2310:43:42:153,0,1638.9116,9.7654,3356491,19999.6000,0,5000,9.7654,19999.6000
2025-07-2310:43:47:153,0,1687.7456,9.7668,3456503,20002.4000,0,5000,9.7668,20002.4000
2025-07-2310:43:52:153,0,1736.5732,9.7655,3556502,19999.8000,0,5000,9.7655,19999.8000
2025-07-2310:43:57:153,0,1785.4014,9.7656,3656502,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:44:02:153,0,1834.2295,9.7656,3756502,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:44:07:153,0,1883.0576,9.7656,3856502,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:44:12:153,0,1931.8813,9.7647,3956493,19998.2000,0,5000,9.7647,19998.2000
2025-07-2310:44:17:153,0,1980.7070,9.7651,4056488,19999.0000,0,5000,9.7651,19999.0000
2025-07-2310:44:22:153,0,2029.5420,9.7670,4156502,20002.8000,0,5000,9.7670,20002.8000
2025-07-2310:44:27:153,0,2078.3657,9.7647,4256493,19998.2000,0,5000,9.7647,19998.2000
2025-07-2310:44:32:153,0,2127.1914,9.7651,4356488,19999.0000,0,5000,9.7651,19999.0000
2025-07-2310:44:37:153,0,2176.0317,9.7681,4456513,20005.0000,0,5000,9.7681,20005.0000
2025-07-2310:44:42:153,0,2224.8599,9.7656,4556513,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:44:47:153,0,2273.6782,9.7637,4656493,19996.0000,0,5000,9.7637,19996.0000
2025-07-2310:44:52:154,0,2322.5161,9.7656,4756513,20000.0000,0,5001,9.7656,20000.0000
2025-07-2310:44:57:154,0,2371.3467,9.7661,4856518,20001.0000,0,5000,9.7661,20001.0000
2025-07-2310:45:02:154,0,2420.1719,9.7650,4956512,19998.8000,0,5000,9.7650,19998.8000
2025-07-2310:45:07:154,0,2469.0005,9.7657,5056513,20000.2000,0,5000,9.7657,20000.2000
2025-07-2310:45:12:154,0,2517.8330,9.7665,5156522,20001.8000,0,5000,9.7665,20001.8000
2025-07-2310:45:17:154,0,2566.6597,9.7653,5256519,19999.4000,0,5000,9.7653,19999.4000
2025-07-2310:45:22:154,0,2615.4849,9.7650,5356513,19998.8000,0,5000,9.7650,19998.8000
2025-07-2310:45:27:154,0,2664.3208,9.7672,5456529,20003.2000,0,5000,9.7672,20003.2000
2025-07-2310:45:32:154,0,2713.1401,9.7639,5556511,19996.4000,0,5000,9.7639,19996.4000
2025-07-2310:45:37:154,0,2761.9692,9.7658,5656513,20000.4000,0,5000,9.7658,20000.4000
2025-07-2310:45:42:154,0,2810.8022,9.7666,5756523,20002.0000,0,5000,9.7666,20002.0000
2025-07-2310:45:47:154,0,2859.6328,9.7661,5856528,20001.0000,0,5000,9.7661,20001.0000
2025-07-2310:45:52:155,0,2908.4634,9.7642,5956533,19997.0006,0,5001,9.7642,19997.0006
2025-07-2310:45:57:155,0,2957.2959,9.7665,6056542,20001.8000,0,5000,9.7665,20001.8000
2025-07-2310:46:02:155,0,3006.1187,9.7646,6156531,19997.8000,0,5000,9.7646,19997.8000
2025-07-2310:46:07:155,0,3054.9521,9.7667,6256542,20002.2000,0,5000,9.7667,20002.2000
2025-07-2310:46:12:155,0,3103.7710,9.7638,6356523,19996.2000,0,5000,9.7638,19996.2000
2025-07-2310:46:17:156,0,3152.6162,9.7671,6456558,20002.9994,0,5001,9.7671,20002.9994
2025-07-2310:46:22:156,0,3201.4370,9.7642,6556543,19997.0000,0,5000,9.7642,19997.0000
2025-07-2310:46:27:156,0,3250.2749,9.7676,6656563,20004.0000,0,5000,9.7676,20004.0000
2025-07-2310:46:32:156,0,3299.1060,9.7662,6756569,20001.2000,0,5000,9.7662,20001.2000
2025-07-2310:46:37:157,0,3347.6899,9.7149,6856069,19896.0208,0,5001,9.7149,19896.0208
2025-07-2310:46:42:157,0,3396.7690,9.8158,6956583,20102.8000,0,5000,9.8158,20102.8000
2025-07-2310:46:47:157,0,3445.5874,9.7637,7056563,19996.0000,0,5000,9.7637,19996.0000
2025-07-2310:46:52:157,0,3494.4253,9.7676,7156583,20004.0000,0,5000,9.7676,20004.0000
2025-07-2310:46:57:157,0,3543.2354,9.7620,7256546,19992.6000,0,5000,9.7620,19992.6000
2025-07-2310:47:02:157,0,3592.0640,9.7657,7356547,20000.2000,0,5000,9.7657,20000.2000
2025-07-2310:47:07:157,0,3640.9014,9.7675,7456566,20003.8000,0,5000,9.7675,20003.8000
2025-07-2310:47:12:157,0,3689.7378,9.7673,7556583,20003.4000,0,5000,9.7673,20003.4000
2025-07-2310:47:17:157,0,3738.5581,9.7641,7656567,19996.8000,0,5000,9.7641,19996.8000
2025-07-2310:47:22:179,0,3787.3496,9.7156,7756492,19897.4512,0,5022,9.7156,19897.4512
2025-07-2310:47:27:179,0,3836.4419,9.8185,7857033,20108.2000,0,5000,9.8185,20108.2000
2025-07-2310:47:32:179,0,3885.2603,9.7637,7957013,19996.0000,0,5000,9.7637,19996.0000
2025-07-2310:47:37:179,0,3934.0884,9.7656,8057013,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:47:42:179,0,3982.9116,9.7646,8157003,19998.0000,0,5000,9.7646,19998.0000
2025-07-2310:47:47:179,0,4031.7441,9.7665,8257012,20001.8000,0,5000,9.7665,20001.8000
2025-07-2310:47:52:179,0,4080.5752,9.7662,8357018,20001.2000,0,5000,9.7662,20001.2000
2025-07-2310:47:57:179,0,4129.4028,9.7655,8457017,19999.8000,0,5000,9.7655,19999.8000
2025-07-2310:48:02:179,0,4178.2217,9.7638,8556998,19996.2000,0,5000,9.7638,19996.2000
2025-07-2310:48:07:180,0,4227.0664,9.7670,8657032,20002.7994,0,5001,9.7670,20002.7994
2025-07-2310:48:12:180,0,4275.8965,9.7660,8757036,20000.8000,0,5000,9.7660,20000.8000
2025-07-2310:48:17:181,0,4324.7329,9.7653,8857053,19999.4001,0,5001,9.7653,19999.4001
2025-07-2310:48:22:183,0,4373.5757,9.7646,8957083,19998.0008,0,5002,9.7646,19998.0008
2025-07-2310:48:27:183,0,4422.4072,9.7663,9057090,20001.4000,0,5000,9.7663,20001.4000
2025-07-2310:48:32:183,0,4471.2368,9.7659,9157093,20000.6000,0,5000,9.7659,20000.6000
2025-07-2310:48:37:210,0,4520.0605,9.7123,9257084,19890.7897,0,5027,9.7123,19890.7897
2025-07-2310:48:42:210,0,4569.1567,9.8192,9357633,20109.8000,0,5000,9.8192,20109.8000
2025-07-2310:48:47:211,0,4617.9961,9.7659,9457656,20000.5999,0,5001,9.7659,20000.5999
2025-07-2310:48:52:212,0,4666.8325,9.7653,9557673,19999.4001,0,5001,9.7653,19999.4001
2025-07-2310:48:57:212,0,4715.6655,9.7666,9657683,20002.0000,0,5000,9.7666,20002.0000
2025-07-2310:49:02:212,0,4764.4937,9.7656,9757683,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:49:07:212,0,4813.3188,9.7650,9857677,19998.8000,0,5000,9.7650,19998.8000
2025-07-2310:49:12:212,0,4862.1499,9.7662,9957683,20001.2000,0,5000,9.7662,20001.2000
2025-07-2310:49:17:212,0,4910.9780,9.7656,10057683,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:49:22:212,0,4959.7993,9.7643,10157669,19997.2000,0,5000,9.7643,19997.2000
2025-07-2310:49:27:212,0,5008.6353,9.7672,10257685,20003.2000,0,5000,9.7672,20003.2000
2025-07-2310:49:32:212,0,5057.4624,9.7654,10357683,19999.6000,0,5000,9.7654,19999.6000
2025-07-2310:49:37:212,0,5106.2856,9.7646,10457673,19998.0000,0,5000,9.7646,19998.0000
2025-07-2310:49:42:212,0,5155.1138,9.7656,10557673,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:49:47:213,0,5203.9517,9.7656,10657693,20000.0000,0,5001,9.7656,20000.0000
2025-07-2310:49:52:213,0,5252.7798,9.7656,10757693,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:49:57:213,0,5301.6079,9.7656,10857693,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:50:02:213,0,5350.4360,9.7656,10957693,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:50:07:213,0,5399.2617,9.7651,11057688,19999.0000,0,5000,9.7651,19999.0000
2025-07-2310:50:12:213,0,5448.0967,9.7670,11157702,20002.8000,0,5000,9.7670,20002.8000
2025-07-2310:50:17:213,0,5496.9170,9.7641,11257686,19996.8000,0,5000,9.7641,19996.8000
2025-07-2310:50:22:213,0,5545.7485,9.7663,11357693,20001.4000,0,5000,9.7663,20001.4000
2025-07-2310:50:27:213,0,5594.5815,9.7666,11457703,20002.0000,0,5000,9.7666,20002.0000
2025-07-2310:50:32:213,0,5643.4097,9.7656,11557703,20000.0000,0,5000,9.7656,20000.0000
2025-07-2310:50:37:213,0,5692.2280,9.7637,11657683,19996.0000,0,5000,9.7637,19996.0000
2025-07-2310:50:42:214,0,5741.0703,9.7665,11757712,20001.7996,0,5001,9.7665,20001.7996
2025-07-2310:50:47:214,0,5789.8940,9.7647,11857703,19998.2000,0,5000,9.7647,19998.2000
2025-07-2310:50:52:214,0,5838.7354,9.7683,11957730,20005.4000,0,5000,9.7683,20005.4000
