Time,cluster_throughput
0.0,0.0
0.08333333333333333,1341.44
0.16666666666666666,4003.84
0.25,4014.08
0.3333333333333333,3911.68
0.4166666666666667,3850.24
0.5,3942.4
0.5833333333333334,3829.76
0.6666666666666666,3768.32
0.75,3829.76
0.8333333333333334,3778.56
0.9166666666666666,3809.28
1.0,3932.16
1.0833333333333333,3962.88
1.1666666666666667,3932.16
1.25,3942.4
1.3333333333333333,3891.2
1.4166666666666667,3891.2
1.5,3921.92
1.5833333333333333,3932.16
1.6666666666666667,3870.72
1.75,3747.84
1.8333333333333333,3665.92
1.9166666666666667,3717.12
2.0,3604.48
2.0833333333333335,3604.48
2.1666666666666665,3543.04
2.25,3553.28
2.3333333333333335,3379.2
2.4166666666666665,3328.0
2.5,3379.2
2.5833333333333335,3348.48
2.6666666666666665,3256.32
2.75,3256.32
2.8333333333333335,3358.72
2.9166666666666665,3256.32
3.0,3184.64
3.0833333333333335,3225.6
3.1666666666666665,3235.84
3.25,3215.36
3.3333333333333335,3153.92
3.4166666666666665,3205.12
3.5,3184.64
3.5833333333333335,3133.44
3.6666666666666665,3061.76
3.75,3153.92
3.8333333333333335,3194.88
3.9166666666666665,3082.24
4.0,3051.52
4.083333333333333,3205.12
4.166666666666667,3174.4
4.25,3082.24
4.333333333333333,3123.2
4.416666666666667,3174.4
4.5,3061.76
4.583333333333333,2990.08
4.666666666666667,3225.6
4.75,3225.6
4.833333333333333,3123.2
4.916666666666667,3133.44
5.0,3215.36
5.083333333333333,3225.6
5.166666666666667,3256.32
5.25,3205.12
5.333333333333333,3174.4
5.416666666666667,3164.16
5.5,3133.44
5.583333333333333,3061.76
5.666666666666667,3164.16
5.75,3174.4
5.833333333333333,3123.2
5.916666666666667,3164.16
6.0,3184.64
6.083333333333333,3184.64
6.166666666666667,3123.2
6.25,3174.4
6.333333333333333,3092.48
6.416666666666667,3112.96
6.5,3072.0
6.583333333333333,3031.04
6.666666666666667,3000.32
6.75,2979.84
6.833333333333333,2969.6
6.916666666666667,2949.12
7.0,2959.36
7.083333333333333,2979.84
7.166666666666667,2949.12
7.25,2969.6
7.333333333333333,3061.76
7.416666666666667,3010.56
7.5,2949.12
7.583333333333333,3000.32
7.666666666666667,3051.52
7.75,3051.52
7.833333333333333,3010.56
7.916666666666667,3010.56
8.0,3092.48
8.083333333333334,3153.92
8.166666666666666,3102.72
8.25,3205.12
8.333333333333334,3246.08
8.416666666666666,3153.92
8.5,3051.52
8.583333333333334,3123.2
8.666666666666666,3133.44
8.75,3123.2
8.833333333333334,3205.12
8.916666666666666,3215.36
9.0,3205.12
9.083333333333334,3092.48
9.166666666666666,3164.16
9.25,3246.08
9.333333333333334,3215.36
9.416666666666666,3092.48
9.5,3256.32
9.583333333333334,3297.28
9.666666666666666,3164.16
9.75,3123.2
9.833333333333334,3287.04
9.916666666666666,3194.88
10.0,3082.24
