hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:00:50.251504325Z,1752490850251,1277233,255446.6,243.61,18.3,437.0,6,64,243,275
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:00:55.414196097Z,1752490855414,1509349,301869.8,287.89,11.8,293.0,4,38,191,231
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:00.542198390Z,1752490860542,1484467,296893.4,283.14,7.5,180.0,3,35,117,154
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:05.591139129Z,1752490865591,1578897,315779.4,301.15,16.8,326.0,4,91,261,312
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:10.689619123Z,1752490870689,1557740,310802.1,296.40,16.3,427.0,3,83,292,377
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:15.739305751Z,1752490875739,1598499,319699.8,304.89,17.1,362.0,4,75,285,339
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:20.848353862Z,1752490880848,1506034,301206.8,287.25,24.7,423.0,4,181,279,336
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:25.919262457Z,1752490885919,744645,148929.0,142.03,28.8,436.0,2,232,293,406
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:30.953249446Z,1752490890953,695095,139019.0,132.58,11.7,317.0,2,47,251,305
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:35.978010161Z,1752490895978,1303708,260741.6,248.66,7.2,59.0,4,37,44,50
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:41.063962384Z,1752490901063,1591538,317862.6,303.14,23.5,341.0,7,101,236,290
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:46.147957468Z,1752490906147,1566198,313239.6,298.73,43.4,491.0,15,234,342,413
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:51.212024099Z,1752490911212,1415717,283143.4,270.03,80.1,1331.0,12,453,1109,1283
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:01:56.295182124Z,1752490916295,1623573,324714.6,309.67,18.8,421.0,6,88,221,350
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:01.387089722Z,1752490921387,1433292,286658.4,273.38,9.2,171.0,4,38,107,140
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:06.454014309Z,1752490926454,1317340,263468.0,251.26,7.5,95.0,4,36,49,84
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:11.518112609Z,1752490931518,1121922,224384.4,213.99,7.6,103.0,4,37,68,89
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:16.587053676Z,1752490936587,1474991,294998.2,281.33,26.8,316.0,9,145,250,288
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:21.680449581Z,1752490941680,1519969,303993.8,289.91,51.3,447.0,21,256,335,393
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:26.803600874Z,1752490946803,1365463,271842.1,259.25,11.9,352.0,3,41,223,342
producer-3.pitur-263079.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-14T11:02:31.859049617Z,1752490951859,1596576,318996.2,304.22,29.0,450.0,6,202,323,420
