Time,producer1,producer2,producer3
10.333333333333334,52907.92167070992,25779.526341088917,54650.04768001128
10.416666666666666,53829.2839293026,25208.025692213807,54751.644968333945
10.5,53958.2261600509,25191.881862670456,52972.538780367395
10.583333333333334,53880.58142357164,25270.775384785138,51940.216739221774
10.666666666666666,54532.069917340166,25970.924912155613,47989.09826627289
10.75,54188.52203819071,25947.86848468306,46420.20323637676
10.833333333333334,53465.027727255365,26222.33290445313,45160.25264765118
10.916666666666666,54183.78304995865,25650.4059052286,44408.38558804167
11.0,54207.903601590115,25840.320802134873,45022.32400293458
11.083333333333334,55052.845024255694,26008.320542900266,45902.1301284012
11.166666666666666,54723.87733906407,25444.934649765655,40437.239154070645
11.25,54719.38293928682,25705.247584662255,38670.76092640847
11.333333333333334,53845.634638297495,25196.875138627573,38251.0924654255
11.416666666666666,54053.20717170481,25323.09630933732,39033.13220508277
11.5,53248.43129453432,25334.455385820762,40161.59645213225
11.583333333333334,53131.62447102812,24840.95286433451,39344.25826387528
11.666666666666666,53470.91304712807,25940.213084914678,37165.953723517225
11.75,53893.53340454855,25455.91268341758,36187.72387699124
11.833333333333334,53935.25157747575,25589.778230049906,36723.61389580271
11.916666666666666,54041.15277110839,25896.33379171645,38458.92097922299
12.0,53561.53021947601,26750.50995206557,39215.280595450524
12.083333333333334,54591.881576939115,26787.72464350821,39975.2418467332
12.166666666666666,53544.7731567138,26900.452827088087,42498.209024057374
12.25,53740.7601638661,26897.234689933914,43545.8247113969
12.333333333333334,53685.1097139247,26985.132240710715,44538.59352277257
12.416666666666666,54377.2843954243,26445.6483206989,45270.80837807754
12.5,55984.87165151233,26440.74521252791,46313.24795608493
12.583333333333334,55218.22643261152,26363.28317437316,46385.22007725039
12.666666666666666,55005.89035800918,29266.797276381625,51262.860764665034
12.75,55236.15019051495,32115.88598518857,51228.68348588743
12.833333333333334,55939.31521174188,32492.237668596186,51553.2641967837
12.916666666666666,55681.23035755285,32664.10889474281,51952.44469000961
13.0,53230.55619063976,32888.8619059558,52081.66550179183
13.083333333333334,50400.776173789985,31516.23646379922,52919.79104945021
13.166666666666666,49048.52307668829,34955.083249877134,55242.71566038083
13.25,47570.041806098205,35816.22423002894,55738.433177050705
13.333333333333334,46508.283325087665,37352.99006003364,55229.16730949632
13.416666666666666,46166.5930795104,38202.63760034604,56000.456724125565
13.5,39221.55592835397,39455.205339265776,54566.89224399054
13.583333333333334,38698.431681137175,40669.622345990465,53354.84303962868
13.666666666666666,37506.29853575606,46572.15576035073,52704.728149711256
13.75,36893.90261076554,48056.910508875175,52778.8714770394
13.833333333333334,36400.374506755135,48544.947010370954,53167.2932294326
13.916666666666666,34819.13359720946,48435.2199052223,53156.023966276225
14.0,26449.94763599126,48771.232948057856,53282.02261140537
14.083333333333334,26402.151848931942,49797.35816619332,53479.267745225
14.166666666666666,26602.110439397446,54540.12233000165,53311.95882808869
14.25,26725.57075817778,53114.60716347034,53680.39672655585
14.333333333333334,27667.366355984952,51099.106092848204,53143.16662055498
14.416666666666666,28307.999418929747,50232.78429418363,52876.28308266052
14.5,32172.44794301259,47887.30376688242,52788.05000539363
