Time,MBInPerSec
0.0,0.0
0.08333333333333333,820.0
0.16666666666666666,900.0
0.25,981.0
0.3333333333333333,1085.44
0.4166666666666667,1167.36
0.5,1228.8
0.5833333333333334,1228.8
0.6666666666666666,1280.0
0.75,1320.96
0.8333333333333334,1372.16
0.9166666666666666,1433.6
1.0,1484.8
1.0833333333333333,1474.56
1.1666666666666667,1495.04
1.25,1546.24
1.3333333333333333,1576.96
1.4166666666666667,1628.16
1.5,1648.64
1.5833333333333333,1679.36
1.6666666666666667,1720.32
1.75,1751.04
1.8333333333333333,1771.52
1.9166666666666667,1802.24
2.0,1853.44
2.0833333333333335,1853.44
2.1666666666666665,1863.68
2.25,1863.68
2.3333333333333335,1873.92
2.4166666666666665,1884.16
2.5,1884.16
2.5833333333333335,1884.16
2.6666666666666665,1894.4
2.75,1904.64
2.8333333333333335,1904.64
2.9166666666666665,1894.4
3.0,1914.88
3.0833333333333335,1914.88
3.1666666666666665,1925.12
3.25,1935.36
3.3333333333333335,1935.36
3.4166666666666665,1935.36
3.5,1955.84
3.5833333333333335,1966.08
3.6666666666666665,1976.32
3.75,1986.56
3.8333333333333335,1976.32
3.9166666666666665,1976.32
4.0,1986.56
4.083333333333333,1996.8
4.166666666666667,2007.04
4.25,2007.04
4.333333333333333,2007.04
4.416666666666667,2007.04
4.5,2027.52
4.583333333333333,2017.28
4.666666666666667,2007.04
4.75,2007.04
4.833333333333333,2007.04
4.916666666666667,2017.28
5.0,2017.28
5.083333333333333,2017.28
5.166666666666667,2017.28
5.25,1996.8
5.333333333333333,2007.04
5.416666666666667,2007.04
5.5,1996.8
5.583333333333333,1996.8
5.666666666666667,1996.8
5.75,1986.56
5.833333333333333,1986.56
5.916666666666667,1986.56
6.0,1976.32
6.083333333333333,1966.08
6.166666666666667,1966.08
6.25,1966.08
6.333333333333333,1976.32
6.416666666666667,1986.56
6.5,1986.56
6.583333333333333,1986.56
6.666666666666667,1996.8
6.75,1996.8
6.833333333333333,2007.04
6.916666666666667,2017.28
7.0,2017.28
7.083333333333333,2017.28
7.166666666666667,2027.52
7.25,2048.0
7.333333333333333,2058.24
7.416666666666667,2058.24
7.5,2058.24
7.583333333333333,2048.0
7.666666666666667,2048.0
7.75,2048.0
7.833333333333333,2048.0
7.916666666666667,2037.76
8.0,2017.28
8.083333333333334,2017.28
8.166666666666666,2017.28
8.25,2007.04
8.333333333333334,2007.04
8.416666666666666,2017.28
8.5,2027.52
8.583333333333334,2027.52
8.666666666666666,2027.52
8.75,2027.52
8.833333333333334,2027.52
8.916666666666666,2027.52
9.0,2037.76
9.083333333333334,2037.76
9.166666666666666,2027.52
9.25,2017.28
9.333333333333334,2007.04
9.416666666666666,2017.28
9.5,2017.28
9.583333333333334,2017.28
9.666666666666666,1996.8
9.75,1996.8
9.833333333333334,1996.8
9.916666666666666,2007.04
10.0,2007.04
10.083333333333334,2007.04
10.166666666666666,2017.28
10.25,2017.28
10.333333333333334,2017.28
10.416666666666666,2027.52
10.5,2027.52
10.583333333333334,2037.76
10.666666666666666,2037.76
10.75,2027.52
10.833333333333334,2017.28
10.916666666666666,2007.04
11.0,2017.28
11.083333333333334,2027.52
11.166666666666666,2027.52
11.25,2037.76
11.333333333333334,2027.52
11.416666666666666,2007.04
11.5,1996.8
11.583333333333334,1996.8
11.666666666666666,1986.56
11.75,1986.56
11.833333333333334,1996.8
11.916666666666666,1996.8
12.0,1976.32
12.083333333333334,1996.8
12.166666666666666,1996.8
12.25,1996.8
12.333333333333334,2007.04
12.416666666666666,1996.8
12.5,1996.8
12.583333333333334,2007.04
12.666666666666666,2007.04
12.75,2007.04
12.833333333333334,1996.8
12.916666666666666,1996.8
13.0,1996.8
13.083333333333334,1986.56
13.166666666666666,1986.56
13.25,2007.04
13.333333333333334,2017.28
13.416666666666666,2027.52
13.5,2048.0
13.583333333333334,2048.0
13.666666666666666,2027.52
13.75,2017.28
13.833333333333334,2017.28
13.916666666666666,2017.28
14.0,2017.28
14.083333333333334,2017.28
14.166666666666666,2007.04
14.25,2007.04
14.333333333333334,2007.04
14.416666666666666,2007.04
14.5,2027.52
14.583333333333334,2027.52
14.666666666666666,2027.52
14.75,2017.28
14.833333333333334,2027.52
14.916666666666666,2017.28
15.0,2027.52
