2025-08-09 12:40:16.606 | main | INFO | io.prometheus.jmx.JavaAgent | Starting ...
2025-08-09 12:40:16.990 | main | INFO | io.prometheus.jmx.JavaAgent | HTTP enabled [true]
2025-08-09 12:40:16.991 | main | INFO | io.prometheus.jmx.JavaAgent | HTTP host:port [0.0.0.0:7001]
2025-08-09 12:40:16.991 | main | INFO | io.prometheus.jmx.JavaAgent | Starting HTTPServer ...
2025-08-09 12:40:17.048 | main | INFO | io.prometheus.jmx.JavaAgent | HTTPServer started
2025-08-09 12:40:17.048 | main | INFO | io.prometheus.jmx.JavaAgent | OpenTelemetry enabled [false]
2025-08-09 12:40:17.049 | main | INFO | io.prometheus.jmx.JavaAgent | Running ...
49992 records sent, 9994.4 records/sec (4.77 MB/sec), 18.3 ms avg latency, 498.0 ms max latency, 2 ms 50th, 137 ms 95th, 176 ms 99th, 183 ms 99.9th.
50260 records sent, 10050.0 records/sec (4.79 MB/sec), 1.3 ms avg latency, 32.0 ms max latency, 1 ms 50th, 2 ms 95th, 3 ms 99th, 29 ms 99.9th.
50120 records sent, 10024.0 records/sec (4.78 MB/sec), 0.9 ms avg latency, 18.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 14 ms 99.9th.
50079 records sent, 10013.8 records/sec (4.77 MB/sec), 0.8 ms avg latency, 8.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 7 ms 99.9th.
50071 records sent, 10012.2 records/sec (4.77 MB/sec), 0.8 ms avg latency, 15.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 5 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 0.8 ms avg latency, 8.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50059 records sent, 10011.8 records/sec (4.77 MB/sec), 0.9 ms avg latency, 10.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50061 records sent, 10012.2 records/sec (4.77 MB/sec), 0.9 ms avg latency, 10.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 6 ms 99.9th.
50060 records sent, 10012.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 10.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 8 ms 99.9th.
50050 records sent, 10006.0 records/sec (4.77 MB/sec), 0.8 ms avg latency, 7.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 2 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 0.9 ms avg latency, 10.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 8 ms 99.9th.
