Time,producer1,producer2,producer3
11.666666666666666,209869,337293.0,282404.0
11.75,217420,335320.0,284585.0
11.833333333333334,223254,334375.0,285671.0
11.916666666666666,227966,332961.0,285714.0
12.0,251878,331511.0,286499.0
12.083333333333334,256878,330856.0,288529.0
12.166666666666666,260550,327421.0,277531.0
12.25,265964,327241.0,279137.0
12.333333333333334,269424,326238.0,281002.0
12.416666666666666,272314,324332.0,282124.0
12.5,294860,322343.0,282541.0
12.583333333333334,295525,319399.0,283542.0
12.666666666666666,297112,307629.0,297982.0
12.75,293143,302443.0,295633.0
12.833333333333334,295557,300861.0,295788.0
12.916666666666666,296306,300340.0,296081.0
13.0,308136,299921.0,295094.0
13.083333333333334,306464,300373.0,293530.0
13.166666666666666,305707,293100.0,288924.0
13.25,306443,293403.0,291771.0
13.333333333333334,306827,294270.0,291332.0
13.416666666666666,306482,294983.0,290012.0
13.5,300845,295415.0,289673.0
13.583333333333334,300483,296001.0,289993.0
13.666666666666666,299305,295719.0,284673.0
13.75,297165,291057.0,281815.0
13.833333333333334,297187,291409.0,282288.0
13.916666666666666,296627,292246.0,283295.0
14.0,295952,293011.0,284693.0
14.083333333333334,297812,294038.0,286390.0
14.166666666666666,299748,298545.0,290399.0
14.25,303124,298258.0,290993.0
14.333333333333334,303841,300107.0,292304.0
14.416666666666666,303955,301813.0,293145.0
14.5,304442,301757.0,293143.0
