hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:04.215344772Z,1752652204215,746768,149353.6,142.43,4.1,489.0,3,16,30,41
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:09.339123981Z,1752652209339,655006,131001.2,124.93,9.5,288.0,2,42,181,276
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:14.375078406Z,1752652214375,643426,128685.2,122.72,9.2,388.0,2,32,248,324
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:19.397061055Z,1752652219397,629625,125925.0,120.09,5.0,228.0,2,7,104,209
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:24.443095281Z,1752652224443,696127,138560.3,132.14,2.9,51.0,2,5,40,49
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:29.491160963Z,1752652229491,693911,138782.2,132.35,3.1,97.0,2,5,41,62
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:34.557101752Z,1752652234557,690077,138015.4,131.62,11.1,366.0,2,35,280,346
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:39.585142441Z,1752652239585,668954,133790.8,127.59,7.3,255.0,2,34,188,244
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:44.624662618Z,1752652244624,700594,139671.9,133.20,8.3,287.0,2,34,196,268
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:49.680350438Z,1752652249680,655533,130428.4,124.39,19.1,297.0,2,166,249,271
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:54.706072945Z,1752652254706,647033,129406.6,123.41,8.9,324.0,2,34,219,302
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:59.730152708Z,1752652259730,662920,132584.0,126.44,10.0,331.0,2,40,230,314
producer-1.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:04.753250258Z,1752652264753,687078,137415.6,131.05,3.0,52.0,2,5,40,47
