Time,throughput
0.0,0.0
0.08333333333333333,11.2
0.16666666666666666,11.1
0.25,11.0
0.3333333333333333,11.0
0.4166666666666667,10.9
0.5,10.9
0.5833333333333334,10.8
0.6666666666666666,10.8
0.75,10.7
0.8333333333333334,10.7
0.9166666666666666,10.7
1.0,10.6
1.0833333333333333,10.6
1.1666666666666667,10.6
1.25,10.6
1.3333333333333333,10.5
1.4166666666666667,10.5
1.5,10.5
1.5833333333333333,10.5
1.6666666666666667,10.5
1.75,10.4
1.8333333333333333,10.4
1.9166666666666667,10.4
2.0,10.4
2.0833333333333335,10.4
2.1666666666666665,10.4
2.25,10.4
2.3333333333333335,10.4
2.4166666666666665,10.4
2.5,10.4
2.5833333333333335,10.3
2.6666666666666665,10.3
2.75,10.3
2.8333333333333335,10.3
2.9166666666666665,10.3
3.0,10.3
3.0833333333333335,10.3
3.1666666666666665,10.3
3.25,10.3
3.3333333333333335,10.3
3.4166666666666665,10.3
3.5,10.3
3.5833333333333335,10.3
3.6666666666666665,10.3
3.75,10.3
3.8333333333333335,10.3
3.9166666666666665,10.3
4.0,10.3
4.083333333333333,10.3
4.166666666666667,10.3
4.25,10.3
4.333333333333333,10.3
4.416666666666667,10.3
4.5,10.3
4.583333333333333,10.3
4.666666666666667,10.3
4.75,10.3
4.833333333333333,10.3
4.916666666666667,10.3
5.0,10.3
5.083333333333333,10.3
5.166666666666667,10.3
5.25,10.3
5.333333333333333,10.3
5.416666666666667,10.3
5.5,10.3
5.583333333333333,10.3
5.666666666666667,10.3
5.75,10.3
5.833333333333333,10.3
5.916666666666667,10.3
6.0,10.3
6.083333333333333,10.3
6.166666666666667,10.3
6.25,10.3
6.333333333333333,10.3
6.416666666666667,10.3
6.5,10.3
6.583333333333333,10.3
6.666666666666667,10.3
6.75,10.3
6.833333333333333,10.3
6.916666666666667,10.3
7.0,10.3
7.083333333333333,10.3
7.166666666666667,10.3
7.25,10.3
7.333333333333333,10.3
7.416666666666667,10.3
7.5,10.3
7.583333333333333,10.3
7.666666666666667,10.3
7.75,10.3
7.833333333333333,10.3
7.916666666666667,10.3
8.0,10.3
8.083333333333334,10.3
8.166666666666666,10.3
8.25,10.3
8.333333333333334,10.3
8.416666666666666,10.3
8.5,10.3
8.583333333333334,10.3
8.666666666666666,10.3
8.75,10.3
8.833333333333334,10.3
8.916666666666666,10.3
9.0,10.3
9.083333333333334,10.3
9.166666666666666,10.3
9.25,10.3
9.333333333333334,10.3
9.416666666666666,10.3
9.5,10.3
9.583333333333334,10.3
9.666666666666666,10.3
